"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
"08 2 15 046, Amtlicher Gemeindeschlüssel"
"08222000, Amtl Gemeindeschlüss"
"08237045, Amtl. Gemeindschlüs."
"123990, AG Frankfurt am Main"
"126321, AG Frankfurt am Main"
"12928, AG Flensburg"
"130410, AG Frankfurt am Main"
"15081, 15090"
"3 Restaurants Athen auf Usedom in Bansin und Zinnowitz, Gyros Bar | 17429"
"A-Partment, Frank Woschei | 50670"
"Aachen, HRB 5954"
"Able Catering GbR, Josef Able & Söhne | 81829"
"ADTV-Tanzschule Geist, Inhaber Matthias Geist | 91056"
"AG Aurich, HRB 100020"
"AG Bad Oeynhausen, HRA 7930"
"AG Bielefeld, HRA 16808"
"AG Bochum, HRA 4562"
"AG Bremen, HRA 20395 HB"
"AG Duisburg, HRB 29532"
"AG Düsseldorf, HRB 47627"
"AG Fürth, HRB 14749"
"AG Gießen, HRB 10682"
"AG Gießen, HRB 10683"
"AG Gießen, HRB 9840"
"AG Hamburg, HRB71756"
"AG Hamm, HRA 4053"
"AG Ingolstadt, HRB 540"
"AG Kiel, HRB 4478 NO"
"AG Köln, HRB 74076"
"AG Leipzig, HR B 32740"
"AG München, HRA 51768"
"AG München, HRB 240698"
"AG München, HRB 71913"
"AG Oldenburg, HRB 120251"
"AG Stendal, HRB 10723"
"AG Stendal, HRB 13195"
"AG Stendal, HRB 30527"
"AG Ulm, HRB 501185"
"AG Ulm, HRB 671090"
"AG Ulm, HRB 734785"
"AG Ulm, HRB 738504"
"AG Würzburg, HRA 4274"
"Aioli, Inh. Ranjanathan Sivalingam | 28195"
"AJs Fitness Studio Mager, Green, Graf GbR | 80997"
"AJs Fitnessstudio Mager, Green, Graf GbR | 80997"
"Akademie für Hörakustik, unselbstständige Tochter der Bundesinnung der Hörakustiker | 55122"
"Akademie für Hörakustik, unselbständige Tochter der Bundesinnung der Hörakustiker | 55122"
"Aksakal Yasar, Myra Restaurant | 81371"
"Aktiv und Relax C. Wolf, M. Bocksch u. B. Bocksch GbR | 82515"
"Albert & Michael Vogler GmbH, Teilbetrieb Inhouse-Restaurants | 95180"
"Alfert Ferkelaufzucht KG, Alfert GbR, Alfert Schweinemast KG, Alfert SBV´s | 48619"
"Alfred, Markus und Karin Hantschk GbR | 94255"
"Alter Landkrug, Ingola Heeschen-Engbrecht | 24589"
"Amtsgericht Aurich, HRB 100220"
"Amtsgericht Charlottenburg, HRB 208968B"
"Amtsgericht Chemnitz, HRA 6045"
"Amtsgericht Chemnitz, HRA 6306"
"Amtsgericht Chemnitz, HRB 11411"
"Amtsgericht Chemnitz, HRB 11609"
"Amtsgericht Chemnitz, HRB 13418"
"Amtsgericht Chemnitz, HRB 141 33"
"Amtsgericht Chemnitz, HRB 17367"
"Amtsgericht Chemnitz, HRB 19797"
"Amtsgericht Chemnitz, HRB 20077"
"Amtsgericht Chemnitz, HRB 22369"
"Amtsgericht Chemnitz, HRB 28573"
"Amtsgericht Chemnitz, HRB 29648"
"Amtsgericht Chemnitz, HRB 8799"
"Amtsgericht Chemnitz, HRB 9505"
"Amtsgericht Chemnitz, HRB-NR.: 4669"
"Amtsgericht Chemnitz, HRB1270"
"Amtsgericht Coesfeld, HRA 9188"
"Amtsgericht Coesfeld, HRB4814"
"Amtsgericht Cottbus, HRB 0144"
"Amtsgericht Cottbus, HRB 2152"
"Amtsgericht Cottbus, HRB 4248 CB"
"Amtsgericht Darmstadt, HRB 32097"
"Amtsgericht Dresden, GnR 352"
"Amtsgericht Dresden, HRA 10384"
"Amtsgericht Dresden, HRA 10404"
"Amtsgericht Dresden, HRA 10902"
"Amtsgericht Dresden, HRA 2931"
"Amtsgericht Dresden, HRA 34774 und Amtsgericht Dresden, HRA 9278"
"Amtsgericht Dresden, HRA 5255"
"Amtsgericht Dresden, HRB 14041"
"Amtsgericht Dresden, HRB 21502"
"Amtsgericht Dresden, HRB 24247"
"Amtsgericht Dresden, HRB 31148"
"Amtsgericht Dresden, HRB 33933"
"Amtsgericht Dresden, HRB 36375 und 36376"
"Amtsgericht Dresden, HRB 3728"
"Amtsgericht Dresden, HRB 40722"
"Amtsgericht Dresden, HRB 40914"
"Amtsgericht Dresden, HRB 43160"
"Amtsgericht Dresden, HRB 6216"
"Amtsgericht Dresden, HRB-Nr. 1900"
"Amtsgericht Dresden, HRB31693"
"Amtsgericht Dresden; HRB 20630 und Amtsgericht Dresden, HRB 29900"
"Amtsgericht Duisburg, 30937"
"Amtsgericht Düsseldorf, HRB 53554 und  Amtsgericht Düsseldorf, HRB 38062"
"Amtsgericht Düsseldorf, HRB 77425"
"Amtsgericht Frankfurt (Oder),
"Amtsgericht Frankfurt (Oder), HRB 1011"
"Amtsgericht Frankfurt (Oder), HRB 15820 FF"
"Amtsgericht Frankfurt (Oder), HRB 2531"
"Amtsgericht Frankfurt (Oder), HRB 991"
"Amtsgericht Freiburg, HRB Nr. 260456"
"Amtsgericht Freiburg, HRB-Nr. 260456"
"Amtsgericht Gelsenkirchen, HRB 10689"
"Amtsgericht Gießen, HRB 6177"
"Amtsgericht Hamburg, HRB 110336"
"Amtsgericht Hamburg, HRB 120390"
"Amtsgericht Hamburg, HRB 158976"
"Amtsgericht Hamburg, HRB 164493"
"Amtsgericht Hamburg, HRB 30468"
"Amtsgericht Hamburg, HRB 92469"
"Amtsgericht Iserlohn, HRB5548"
"Amtsgericht Jena, HRB 208186"
"Amtsgericht Kiel, HRA 11494 KI"
"Amtsgericht Krefeld, HRB 13180"
"Amtsgericht Krefeld, HRB 13316"
"Amtsgericht Köln, HRB 30414"
"Amtsgericht Landshut, HRA 7771"
"Amtsgericht Landshut, HRB 4708"
"Amtsgericht Leipzig, HRB 26031 und Amtsgericht Leipzig, HRB 26031"
"Amtsgericht Leipzig, HRB 33558"
"Amtsgericht Leipzig, HRB 37746"
"Amtsgericht Meppen, BSR Blatt 1332"
"Amtsgericht München, HRB 126492"
"Amtsgericht München, HRB 170730"
"Amtsgericht München, HRB 94207"
"Amtsgericht Münster, HRB 10880"
"Amtsgericht Neuruppin, HRB 10258 NP"
"Amtsgericht Neuruppin, HRB 1793"
"Amtsgericht Oldenburg, HRA 203758"
"Amtsgericht Osnabrück, HRB 122194; Ust-ID DE240767052"
"Amtsgericht Paderborn, HRA 5446"
"Amtsgericht Potsdam, HRB 1685 P"
"Amtsgericht Potsdam, HRB 25618 P"
"Amtsgericht Potsdam, HRB 4428 P"
"Amtsgericht Potsdam, HRB 4666"
"Amtsgericht Potsdam, HRB 7079 P"
"Amtsgericht Potsdam, HRB�9960"
"Amtsgericht Rostock, HRB 1604"
"Amtsgericht Steinfurt, HRA 4043"
"Amtsgericht Stuttgart, HRA 734801"
"Amtsgericht Stuttgart, HRB 763028"
"Amtsgericht Tostedt, HRB 100366"
"Amtsgericht Traunstein, HRB 2230"
"Amtsgericht Ulm, HRB 532499"
"Amtsgericht Ulm, HRB 661894"
"Amtsgericht Walsrode, HRA 121140"
"Amtsgericht Wiesbaden, HRA 9075"
"Amtsgericht Würzburg, HRB 2534"
"Andre Sicking LDW,Schweinemast KG, SBV, PV Anlage | 48712"
"Andreas Jäger, Bayerischer Hof | 76744"
"Angela Bruch - Imbiss - , ARGE | 54294"
"Aqua Oase Biergarten, Sportsbar, Sonnenstudio | 35037"
"Arabatzis, Ioannis | 35649"
"Asia Imbiss,, Inh. Van Phuog Truong | 20095"
"AsiaWok, Restaurant Lotus, Imbiss ZenZen | 18311"
"Augsburg, HRA 15829"
"Automatenbetrieb, Gaststätten, Imbiss | 93073"
"Autovermietung Tober e.K., Inh. Marietta Schmiedehausen | 24107"
"Averkamp, Josef | 46342"
